essay_id,prompt_id,organization_score,question1,question2,question3,question4,question5,question6,question7,question8,question9,question10,question11,question12,question13,question14
898,1,4.0,low,low,low,medium,low,low,low,low,low,low,low,low,low,medium
899,1,4.0,medium,low,medium,medium,medium,medium,medium,medium,low,medium,low,medium,medium,medium
900,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,low,medium,low,low,medium,medium
901,1,3.0,low,low,low,low,low,low,low,low,low,low,low,low,low,low
902,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,low,medium,medium,low,medium,medium
903,1,3.0,medium,low,low,medium,low,medium,medium,medium,low,medium,medium,medium,medium,medium
904,1,3.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
905,1,3.0,low,low,low,medium,medium,low,medium,medium,low,medium,low,medium,medium,low
906,1,5.0,medium,low,low,medium,medium,low,medium,low,low,medium,medium,medium,medium,low
907,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
908,1,4.0,medium,low,medium,medium,medium,medium,medium,low,low,medium,low,low,medium,medium
909,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
910,1,3.0,medium,low,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
911,1,3.0,low,low,low,medium,low,low,low,low,low,medium,low,low,low,low
912,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
913,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
914,1,3.0,low,low,medium,medium,medium,low,medium,medium,low,medium,low,medium,medium,medium
915,1,4.0,low,low,low,low,medium,low,low,low,low,medium,low,low,low,medium
916,1,4.0,medium,low,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
917,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,medium
918,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
919,1,4.0,low,low,low,low,low,low,low,low,low,low,low,low,low,low
920,1,4.0,low,low,low,low,low,low,medium,low,low,medium,low,low,low,low
921,1,4.0,medium,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,medium,medium
922,1,3.0,medium,low,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,medium,medium
923,1,3.0,medium,low,medium,medium,medium,low,medium,low,low,medium,medium,medium,low,medium
924,1,3.0,low,low,low,medium,low,low,medium,low,low,medium,low,low,low,low
925,1,2.0,low,low,low,low,low,low,low,low,low,low,low,low,low,low
926,1,2.0,medium,low,low,medium,medium,low,medium,low,low,medium,medium,low,low,medium
927,1,2.0,medium,low,low,medium,low,low,low,low,low,medium,low,low,low,low
928,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
929,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
930,1,3.0,medium,medium,medium,medium,medium,low,medium,medium,low,medium,medium,medium,medium,medium
931,1,3.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
932,1,5.0,medium,low,low,medium,medium,low,low,low,low,medium,low,low,medium,medium
933,1,4.0,medium,low,low,medium,medium,low,medium,medium,low,medium,low,medium,medium,medium
934,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
935,1,3.0,medium,low,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,medium,medium
936,1,3.0,medium,medium,medium,medium,medium,medium,medium,low,low,medium,medium,medium,medium,medium
937,1,4.0,low,low,low,low,low,low,medium,low,low,low,low,low,low,low
938,1,4.0,medium,medium,low,medium,medium,medium,medium,medium,low,medium,low,medium,medium,medium
939,1,3.0,medium,low,low,medium,medium,low,medium,low,low,medium,medium,medium,medium,medium
940,1,3.0,low,low,low,low,low,low,low,low,low,low,low,low,low,low
941,1,6.0,medium,high,medium,high,high,medium,high,high,medium,high,medium,medium,high,high
942,1,4.0,medium,low,medium,medium,medium,low,medium,low,low,medium,medium,medium,medium,medium
943,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,low,medium,low,medium,medium,medium
944,1,3.0,low,low,low,medium,medium,low,low,low,low,medium,low,low,medium,medium
945,1,5.0,medium,low,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
946,1,3.0,low,low,low,medium,medium,medium,medium,low,low,medium,medium,low,medium,medium
947,1,4.0,low,low,low,medium,low,low,low,low,low,medium,low,medium,low,medium
948,1,5.0,medium,low,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,low,medium
949,1,3.0,medium,low,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,medium
950,1,4.0,low,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
951,1,5.0,medium,low,low,medium,low,low,medium,low,low,medium,medium,low,medium,medium
952,1,4.0,medium,low,medium,medium,medium,low,low,low,low,medium,medium,medium,medium,medium
953,1,6.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
954,1,4.0,medium,low,low,low,low,low,medium,low,low,medium,low,medium,low,medium
955,1,3.0,low,low,low,low,low,low,low,low,low,low,low,low,low,low
956,1,3.0,medium,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,medium,medium
957,1,5.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
958,1,3.0,low,low,low,low,low,low,low,low,low,low,low,low,low,low
959,1,5.0,medium,low,low,medium,medium,low,medium,medium,low,medium,medium,medium,medium,medium
960,1,2.0,low,low,low,low,low,low,low,low,low,low,low,low,low,low
961,1,3.0,low,low,low,medium,low,low,low,low,low,medium,low,low,low,low
962,1,5.0,medium,low,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,medium
963,1,3.0,low,low,low,medium,low,low,medium,low,low,low,low,low,low,low
964,1,6.0,medium,low,medium,medium,medium,medium,medium,medium,medium,medium,medium,low,medium,medium
965,1,3.0,low,low,low,low,low,low,low,low,low,low,low,low,low,low
966,1,4.0,medium,low,low,medium,medium,low,medium,low,low,medium,medium,medium,medium,medium
967,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
968,1,6.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
969,1,3.0,low,low,low,low,low,low,low,low,low,medium,low,low,low,low
970,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
971,1,3.0,medium,medium,medium,medium,medium,medium,medium,low,low,medium,medium,medium,low,medium
972,1,4.0,low,low,low,medium,medium,low,medium,low,low,medium,low,medium,medium,medium
973,1,4.0,medium,low,medium,medium,medium,medium,medium,low,low,medium,medium,medium,medium,medium
974,1,1.0,low,low,low,low,low,low,low,low,low,low,low,low,low,low
975,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
976,1,5.0,medium,low,low,medium,medium,low,medium,medium,low,medium,medium,medium,medium,medium
977,1,3.0,medium,low,low,medium,low,low,medium,low,low,medium,medium,low,low,medium
978,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,low,medium,medium
979,1,5.0,medium,low,low,medium,low,low,medium,medium,low,low,low,low,low,medium
980,1,5.0,low,low,low,low,low,low,low,low,low,low,low,low,low,low
981,1,5.0,low,low,low,low,low,low,low,low,low,low,low,low,low,low
982,1,5.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
983,1,3.0,medium,low,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,medium
984,1,3.0,medium,low,medium,medium,medium,low,medium,low,low,medium,medium,medium,medium,medium
985,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,medium
986,1,4.0,low,low,low,medium,medium,low,medium,low,low,medium,low,medium,medium,medium
987,1,3.0,medium,low,medium,medium,medium,low,medium,low,low,medium,medium,medium,medium,medium
988,1,4.0,medium,low,medium,medium,medium,medium,medium,low,low,medium,medium,medium,medium,medium
989,1,5.0,high,medium,high,high,high,high,high,medium,medium,high,high,medium,high,high
990,1,5.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
991,1,4.0,medium,low,medium,medium,medium,medium,medium,medium,low,medium,medium,low,medium,medium
992,1,3.0,low,low,low,medium,low,low,low,low,low,medium,low,low,medium,medium
993,1,4.0,medium,low,low,medium,medium,medium,medium,low,low,medium,medium,low,medium,low
994,1,4.0,medium,low,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,medium
995,1,2.0,low,low,low,low,low,low,medium,low,low,medium,low,low,low,low
996,1,4.0,medium,low,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,medium
997,1,4.0,medium,low,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
998,1,5.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
999,1,5.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
1000,1,6.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
1001,1,3.0,medium,low,medium,medium,medium,low,medium,medium,low,medium,medium,medium,medium,medium
1002,1,3.0,medium,low,medium,medium,medium,medium,medium,low,low,medium,medium,medium,medium,medium
1003,1,4.0,medium,low,low,medium,low,medium,medium,low,low,medium,medium,medium,low,medium
1004,1,3.0,low,low,low,low,low,low,low,low,low,low,low,low,low,low
1005,1,4.0,medium,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,medium,medium
1006,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,low,medium,low,medium,medium,medium
1007,1,5.0,medium,low,medium,medium,medium,medium,medium,medium,low,medium,low,medium,low,medium
1008,1,4.0,low,low,low,low,low,low,low,low,low,low,low,low,low,low
1009,1,3.0,medium,low,low,medium,low,low,medium,low,low,medium,low,medium,medium,low
1010,1,4.0,medium,low,low,medium,low,low,medium,low,low,medium,low,low,low,medium
1011,1,4.0,medium,low,medium,medium,medium,medium,medium,low,low,medium,medium,low,medium,medium
1012,1,4.0,medium,low,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
1013,1,3.0,medium,medium,medium,medium,medium,medium,medium,medium,low,medium,medium,low,low,medium
1014,1,3.0,medium,low,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,medium,medium
1015,1,4.0,low,low,low,medium,medium,low,medium,low,low,medium,low,low,medium,medium
1016,1,4.0,medium,low,low,medium,low,low,medium,low,low,medium,low,medium,low,low
1017,1,3.0,medium,low,low,medium,medium,low,medium,medium,low,medium,low,medium,medium,medium
1018,1,4.0,medium,low,low,low,low,low,low,low,low,low,low,low,medium,low
1019,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
1020,1,5.0,medium,medium,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,medium
1021,1,4.0,medium,low,low,medium,medium,low,medium,low,low,medium,low,low,medium,medium
1022,1,6.0,medium,low,medium,medium,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
1023,1,3.0,low,low,low,medium,low,low,low,low,low,medium,low,low,low,low
1024,1,3.0,low,low,low,low,low,low,low,low,low,low,low,low,low,low
1025,1,5.0,low,medium,medium,medium,medium,medium,medium,medium,low,medium,low,medium,medium,medium
1026,1,4.0,low,low,low,medium,low,low,low,low,low,medium,low,low,low,low
1027,1,4.0,low,low,low,medium,low,low,low,low,low,low,low,low,low,low
1028,1,6.0,medium,low,medium,medium,medium,medium,medium,low,low,medium,medium,medium,medium,medium
1029,1,4.0,low,low,low,medium,low,low,low,low,low,low,low,low,low,low
1030,1,3.0,low,low,low,medium,low,low,medium,low,low,medium,low,low,low,low
1031,1,5.0,low,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
1032,1,3.0,medium,low,medium,medium,medium,medium,medium,medium,low,medium,low,low,medium,medium
1033,1,5.0,medium,low,low,medium,medium,low,medium,medium,low,medium,low,medium,medium,medium
1034,1,3.0,low,low,low,medium,low,low,low,low,low,low,low,low,low,low
1035,1,5.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
1036,1,4.0,low,low,low,medium,medium,medium,medium,low,low,medium,low,medium,medium,medium
1037,1,3.0,medium,low,low,medium,low,low,medium,medium,low,medium,medium,low,medium,low
1038,1,5.0,medium,low,low,medium,medium,low,medium,low,low,medium,low,low,low,medium
1039,1,4.0,medium,medium,low,medium,medium,medium,medium,low,low,medium,medium,low,medium,medium
1040,1,3.0,low,low,low,low,low,low,low,low,low,low,low,low,low,low
1041,1,2.0,medium,low,low,medium,medium,low,medium,low,low,medium,low,medium,medium,medium
1042,1,5.0,low,low,low,medium,medium,low,medium,low,low,medium,low,low,medium,medium
1043,1,5.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
1044,1,2.0,medium,medium,medium,medium,medium,medium,medium,low,low,medium,medium,medium,medium,low
1045,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
1046,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
1047,1,4.0,low,low,low,low,low,low,low,low,low,medium,low,low,medium,low
1048,1,4.0,medium,low,low,medium,low,low,medium,low,low,low,low,low,low,low
1049,1,5.0,medium,low,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,medium,medium
1050,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
1051,1,4.0,low,low,low,low,low,low,low,low,low,low,low,low,low,low
1052,1,5.0,low,medium,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,medium
1053,1,4.0,low,low,low,medium,low,low,low,low,low,low,low,low,low,low
1054,1,3.0,low,low,low,medium,medium,low,medium,low,low,medium,low,low,medium,medium
1055,1,3.0,medium,medium,low,medium,low,low,medium,low,low,medium,medium,medium,medium,low
1056,1,2.0,medium,low,low,medium,medium,low,medium,low,low,medium,medium,medium,medium,medium
1057,1,5.0,low,low,low,medium,medium,low,medium,low,low,medium,low,low,low,medium
1058,1,5.0,medium,low,low,medium,medium,low,medium,medium,low,medium,low,medium,medium,medium
1059,1,5.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
1060,1,4.0,medium,low,low,medium,low,low,medium,low,low,medium,low,medium,low,low
1061,1,3.0,low,low,low,low,low,low,low,low,low,low,low,low,low,low
1062,1,4.0,medium,low,medium,medium,medium,low,medium,medium,low,medium,medium,low,medium,medium
1063,1,4.0,medium,medium,medium,high,medium,medium,medium,medium,medium,high,medium,medium,high,medium
1064,1,3.0,medium,low,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
1065,1,4.0,low,low,low,low,low,low,low,low,low,low,low,low,low,low
1066,1,5.0,medium,low,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,medium
1067,1,4.0,medium,low,medium,medium,medium,medium,medium,medium,low,medium,medium,low,medium,medium
1068,1,4.0,medium,low,low,medium,medium,low,medium,low,low,medium,medium,medium,medium,medium
1069,1,5.0,medium,medium,medium,high,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
1070,1,3.0,low,low,low,low,low,low,low,low,low,low,low,low,low,low
1071,1,3.0,medium,low,medium,medium,medium,medium,medium,low,low,medium,medium,medium,medium,medium
1072,1,3.0,low,low,low,medium,low,low,medium,low,low,medium,low,low,low,low
1073,1,4.0,medium,low,medium,medium,low,low,medium,low,low,medium,medium,medium,medium,low
1074,1,3.0,medium,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,low,medium,medium
1075,1,3.0,medium,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,medium,medium
1076,1,6.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
1077,1,3.0,low,low,low,low,low,low,low,low,low,low,low,low,low,low
1078,1,5.0,medium,low,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,low,medium
1079,1,3.0,medium,low,low,medium,low,low,medium,low,low,low,medium,low,low,low
1080,1,4.0,medium,low,medium,medium,medium,low,medium,medium,low,medium,low,medium,medium,medium
1081,1,3.0,low,low,low,medium,low,low,low,low,low,medium,low,low,low,low
1082,1,3.0,medium,low,medium,medium,low,low,low,low,low,medium,low,medium,low,medium
1083,1,2.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
1084,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
1085,1,4.0,medium,low,medium,medium,medium,low,medium,low,low,medium,medium,medium,medium,low
1086,1,4.0,medium,low,medium,medium,medium,medium,medium,medium,low,medium,low,low,medium,medium
1087,1,4.0,medium,low,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,medium
1088,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,medium
1089,1,3.0,low,low,low,low,low,low,medium,low,low,medium,low,low,low,low
1090,1,4.0,low,low,low,medium,low,low,medium,low,low,medium,low,low,low,medium
1091,1,4.0,medium,low,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
1092,1,4.0,medium,low,low,medium,medium,low,medium,medium,low,medium,low,medium,medium,medium
1093,1,5.0,medium,low,low,medium,low,low,medium,low,low,low,low,low,low,low
1094,1,4.0,medium,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,medium,medium
1095,1,3.0,low,low,low,low,low,low,medium,low,low,medium,low,low,low,medium
1096,1,2.0,low,low,low,low,low,low,low,low,low,low,low,low,low,low
1097,1,4.0,low,low,low,medium,medium,low,low,low,low,medium,low,low,medium,medium
1098,1,4.0,low,low,low,medium,low,low,low,low,low,low,low,low,low,low
1099,1,4.0,medium,low,low,medium,low,low,medium,low,low,medium,low,medium,low,low
1100,1,3.0,medium,medium,medium,medium,medium,medium,medium,low,low,medium,medium,medium,medium,medium
1101,1,3.0,medium,low,low,medium,medium,low,medium,low,low,medium,medium,low,medium,low
1102,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
1103,1,2.0,low,low,low,low,low,low,medium,low,low,low,low,low,low,low
1104,1,4.0,medium,low,medium,medium,medium,low,medium,medium,medium,medium,medium,medium,medium,medium
1105,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
1106,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
1107,1,1.0,low,low,low,medium,medium,low,medium,low,low,medium,low,medium,medium,medium
1108,1,4.0,medium,low,low,medium,medium,medium,medium,low,low,medium,low,low,medium,medium
1109,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
1110,1,3.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
1111,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
1112,1,4.0,medium,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,low,medium,medium
1113,1,5.0,medium,low,medium,medium,medium,medium,medium,low,low,medium,medium,medium,medium,medium
1114,1,4.0,low,low,low,low,low,low,medium,low,low,low,low,low,low,low
1115,1,4.0,low,low,low,medium,medium,low,medium,medium,low,medium,low,low,low,low
1116,1,4.0,low,low,low,low,low,low,low,low,low,low,low,low,low,low
1117,1,3.0,low,low,low,medium,low,low,low,low,low,low,low,low,low,low
1118,1,3.0,medium,low,low,medium,low,low,medium,low,low,medium,medium,low,medium,low
1119,1,4.0,medium,low,low,medium,low,low,medium,low,low,medium,low,low,medium,low
1120,1,3.0,low,low,low,low,low,low,low,low,low,low,low,low,low,low
1121,1,1.0,low,low,low,low,low,low,low,low,low,low,low,low,low,low
1122,1,5.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
1123,1,3.0,low,low,low,medium,low,low,low,low,low,low,low,low,low,low
1124,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
1125,1,3.0,low,low,low,medium,low,low,low,low,low,low,low,low,low,medium
1126,1,4.0,medium,low,low,medium,medium,low,medium,medium,low,medium,low,low,medium,medium
1127,1,4.0,medium,low,low,medium,medium,low,medium,low,low,medium,low,low,medium,medium
1128,1,3.0,medium,low,low,medium,medium,medium,medium,medium,low,medium,medium,low,medium,low
1129,1,5.0,low,low,low,medium,low,low,medium,low,low,low,low,low,low,low
1130,1,2.0,low,low,low,low,low,low,low,low,low,low,low,low,low,low
1132,1,4.0,medium,low,low,medium,low,low,medium,low,low,medium,medium,medium,low,medium
1133,1,5.0,medium,low,medium,medium,medium,medium,medium,medium,medium,medium,medium,low,medium,medium
1134,1,3.0,medium,medium,medium,medium,medium,medium,medium,medium,low,medium,medium,low,medium,medium
1135,1,5.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
1136,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,medium
1137,1,4.0,low,low,low,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,medium
1138,1,4.0,medium,low,low,medium,low,low,medium,low,low,low,medium,low,medium,medium
1139,1,4.0,medium,low,medium,medium,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
1140,1,5.0,low,medium,low,medium,medium,medium,medium,medium,low,medium,low,low,medium,medium
1141,1,3.0,low,low,low,medium,low,low,low,low,low,low,low,low,low,low
1142,1,3.0,low,low,low,medium,medium,low,medium,low,low,medium,low,low,medium,medium
1143,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
1144,1,5.0,low,low,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,medium
1145,1,5.0,medium,medium,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,medium
1146,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
1147,1,5.0,medium,low,medium,medium,medium,medium,medium,medium,low,medium,medium,low,medium,medium
1148,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,low,medium
1149,1,6.0,low,low,low,medium,medium,low,medium,low,low,medium,low,low,medium,medium
1150,1,5.0,medium,low,medium,medium,medium,medium,medium,medium,low,medium,medium,low,medium,medium
1151,1,4.0,medium,low,medium,medium,medium,medium,medium,low,low,medium,low,low,medium,medium
1152,1,5.0,medium,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,medium,medium
1153,1,5.0,medium,medium,medium,high,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
1154,1,3.0,medium,low,medium,medium,medium,medium,medium,low,low,medium,medium,medium,medium,medium
1155,1,5.0,medium,low,medium,medium,low,medium,medium,medium,low,medium,medium,medium,low,medium
1156,1,4.0,medium,low,medium,medium,medium,low,medium,low,low,medium,medium,medium,medium,medium
1157,1,3.0,low,low,low,medium,medium,low,medium,low,low,medium,low,low,medium,medium
1158,1,5.0,medium,low,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
1159,1,5.0,medium,low,low,medium,medium,low,medium,medium,low,low,medium,low,low,medium
1160,1,4.0,medium,low,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
1161,1,4.0,medium,medium,medium,medium,medium,low,medium,medium,low,medium,low,medium,medium,medium
1162,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,low,medium,low,medium,medium,medium
1163,1,4.0,medium,low,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
1164,1,4.0,medium,low,low,medium,medium,low,medium,low,low,low,low,low,low,low
1165,1,3.0,low,low,low,medium,low,low,medium,low,low,medium,low,low,low,low
1166,1,3.0,medium,low,low,medium,medium,low,medium,low,low,medium,medium,medium,medium,medium
1167,1,4.0,medium,low,medium,medium,medium,medium,medium,medium,low,medium,low,medium,medium,medium
1168,1,5.0,low,low,low,medium,low,low,low,low,low,low,low,low,low,low
1169,1,4.0,medium,low,low,medium,low,low,medium,low,low,low,low,low,medium,low
1170,1,6.0,low,low,medium,medium,medium,medium,medium,medium,low,medium,low,medium,medium,medium
1171,1,5.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
1172,1,4.0,medium,low,low,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,medium
1173,1,5.0,medium,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,medium,medium
1174,1,4.0,low,low,low,medium,low,low,low,low,low,medium,low,low,low,low
1175,1,5.0,low,medium,medium,medium,medium,medium,medium,low,low,medium,medium,medium,medium,medium
1176,1,4.0,low,low,low,low,low,low,medium,low,low,low,low,low,low,low
1177,1,3.0,medium,low,low,medium,medium,low,medium,low,low,medium,low,medium,low,medium
1178,1,4.0,medium,low,medium,medium,medium,low,medium,low,low,medium,medium,medium,medium,medium
1179,1,3.0,low,low,low,medium,low,low,low,low,low,low,low,low,low,low
1180,1,5.0,medium,low,low,medium,medium,medium,medium,medium,low,medium,medium,low,medium,medium
1181,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
1182,1,4.0,medium,low,medium,medium,medium,low,medium,low,low,medium,medium,medium,low,medium
1183,1,3.0,low,low,low,low,low,low,low,low,low,low,low,low,low,low
1184,1,5.0,medium,medium,medium,medium,medium,medium,medium,medium,low,medium,medium,low,medium,medium
1185,1,3.0,low,low,low,medium,medium,low,medium,medium,low,medium,low,low,medium,medium
1186,1,5.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
1187,1,4.0,medium,low,low,medium,low,medium,medium,medium,low,medium,medium,low,medium,medium
1188,1,3.0,medium,low,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,medium
1189,1,3.0,low,low,low,medium,low,low,low,low,low,low,low,low,low,low
1190,1,4.0,low,low,low,low,low,low,low,low,low,low,low,low,low,low
1191,1,5.0,medium,low,low,medium,low,low,medium,medium,low,medium,low,low,medium,medium
1192,1,4.0,medium,medium,medium,medium,medium,low,medium,low,medium,medium,medium,medium,medium,medium
1193,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,low,medium,medium
1194,1,4.0,low,low,medium,high,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
1195,1,5.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
1196,1,3.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
1197,1,3.0,medium,low,low,medium,medium,low,medium,low,low,medium,medium,low,medium,medium
1198,1,2.0,low,low,low,medium,low,low,medium,low,low,medium,low,low,low,low
1199,1,5.0,medium,low,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,medium,medium
1200,1,5.0,medium,low,low,medium,low,low,low,low,low,medium,medium,low,low,medium
1201,1,6.0,medium,low,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,medium,medium
1202,1,3.0,medium,low,low,medium,low,low,medium,medium,low,medium,low,medium,medium,medium
1203,1,4.0,low,low,medium,medium,medium,medium,medium,medium,low,medium,medium,low,medium,medium
1204,1,5.0,low,low,low,medium,medium,medium,medium,low,low,medium,low,low,medium,medium
1205,1,4.0,medium,low,low,medium,low,low,medium,low,low,medium,medium,low,low,low
1206,1,4.0,medium,low,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
1207,1,5.0,low,low,low,low,low,low,low,low,low,low,low,low,low,low
